Column1;Column2;Column3;Column4;Column5;Column6
DOÐU ÝÞHANI;FATÝH;DEMÝRTAÞ;;41.0153299;28.974929
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BÜLBÜL;;41.049433;28.944783
KUYUCU MURAD PAÞA KÜLLÝYESÝ - MEDRESE;FATÝH;BALABANAÐA;OSMANLI;41.0105775;28.9594145
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KILIÇALÝ PAÞA;CUMHURÝYET;41.02812429999999;28.9841561
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;CADDEBOSTAN;CUMHURÝYET;40.9919939;29.0291886
KÂRGÝR MAÐAZA;ADALAR;HEYBELÝADA;;40.8733364;29.08962709999999
SÜLEYMANÝYE KÜLLÝYESÝ - SÂNÝ MEDRESESÝ;FATÝH;SÜLEYMANÝYE;OSMANLI;41.016047;28.9639711
AHÞAP EV;BEYKOZ;YALIKÖY;OSMANLI;41.1405254;29.0823555
ÇEÇEYAN HAN;BEYOÐLU;KEMANKEÞ KARAMUSTAFAPAÞA;OSMANLI;41.022984;28.9761901
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;ACIBADEM;;41.0010389;29.029593
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;KÜÇÜKSU;;41.0635527;29.0721748
BEYKOZ KIÞLASI - B YAPISI;BEYKOZ;YALIKÖY;OSMANLI;41.1405254;29.0823555
AHÞAP EV;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0338085;29.03165
YUNANÝSTAN BAÞKONSOLOSLUÐU;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.0344436;28.9793533
KADIN EFENDÝ ÇEÞMESÝ;BEÞÝKTAÞ;KURUÇEÞME;OSMANLI;41.0580078;29.0351754
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;HIRKA-Ý ÞERÝF;OSMANLI;41.0223333;28.9397639
TONOZLU YAPI;SARIYER;TARABYA;;41.138583;29.0474474
NÝÞANCI MEHMED PAÞA KÜLLÝYESÝ - KAPI;FATÝH;ATÝKALÝ;OSMANLI;41.024184;28.9447931
EMÝNE SULTAN ÇEÞMESÝ;FATÝH;MEVLANAKAPI;OSMANLI;41.0135236;28.9266773
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;MERKEZ;OSMANLI;41.0556338;28.9310833
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0228524;29.0118038
KANZUK EVLER KOMPLEKSÝ;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER MERKEZ;;41.1622917;29.0474203
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KULOÐLU;;41.049433;28.944783
ÝKÝZ EV;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.0304704;28.9808817
HALÝÇ SURLARI - 53. VE 54. KULELER ARASINDAKÝ SUR DUVARI;FATÝH;YAVUZ SULTAN SELÝM;BÝZANS;41.02607709999999;28.9535923
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KÜÇÜK AYASOFYA;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;RAMÝ CUMA;OSMANLI;41.0556338;28.9310833
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.068056;29.043056
KAGÝR EV;PENDÝK;BATI;CUMHURÝYET;40.8765737;29.2291726
KAGIR EV;ADALAR;NÝZAM;CUMHURÝYET;40.8653698;29.1165628
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;ÝMRENDERE;OSMANLI;41.1728807;29.6122329
HZ. HAFÝR TÜRBESÝ;EYÜPSULTAN;DEFTERDAR;OSMANLI;41.0327729;28.9332142
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MOLLA FENARÝ;OSMANLI;41.0097038;28.9710581
HAVUZLU HAMAM;FATÝH;MÝMAR KEMALETTÝN;OSMANLI;41.0076329;28.9591335
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;TARABYA;;41.0952869;29.0328543
AZERYAN YALISI;SARIYER;BÜYÜKDERE;OSMANLI;41.1654554;29.0551134
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;TAYA HATUN;OSMANLI;41.0124203;28.9696027
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÞÝLE;ÜVEZLÝ;OSMANLI;41.1132;29.4433
AHÞAP EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
ÝSHAK PAÞA KONAÐI;FATÝH;CANKURTARAN;OSMANLI;41.0063439;28.9819931
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;SURURÝ MEHMET EFENDÝ;;41.0371087;28.9725134
KÂRGÝR EV;FATÝH;DERVÝÞ ALÝ;OSMANLI;41.02850670000001;28.9404917
SÝRKECÝ GARI - MARKÝZLERÝYLE BERABER ÇELÝK KONSTRÜKSÝYONLU ÝLK PERONLAR;FATÝH;HOCAPAÞA;OSMANLI;41.040242;28.9565634
KAGÝR EV;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0539703;29.0270806
KAGÝR EV;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0539703;29.0270806
ÝRFAN BEY APARTMANI;BEYOÐLU;KULOÐLU;OSMANLI;40.9761656;29.061463
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;ÝSLAMBEY;OSMANLI;41.0556338;28.9310833
ÇEÞME;BEYOÐLU;KULOÐLU;;41.0329865;28.980154
KAGÝR EV;BEÞÝKTAÞ;ORTAKÖY;OSMANLI;41.0539703;29.0270806
MEHTABHANE KÖÞKÜ;BEÞÝKTAÞ;KURUÇEÞME;;41.0454709;29.0606997
SÝLO BÝNASI 9A ;ÞÝÞLÝ;;CUMHURÝYET;41.11343;29.021992
DÜKKÂN;FATÝH;TAYA HATUN;OSMANLI;41.0124203;28.9696027
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;YILDIZ;;41.0471495;29.0139863
MAHMUT ÇAVUÞ CAMÝÝ;SARIYER;ÝSTÝNYE;;41.115249;29.056784
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;;41.049433;28.944783
AHÞAP EV;BEYOÐLU;PÜRTELAÞ HASAN EFENDÝ;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;SULTAN AHMET;OSMANLI;41.0078742;28.97783129999999
ÇEMBERLÝTAÞ HAMAMI;FATÝH;MOLLA FENARÝ;OSMANLI;41.0085334;28.9716
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.049433;28.944783
AHÞAP BÝNA;BAKIRKÖY;YEÞÝLKÖY;;40.9776484;28.8188948
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;SÝNANPAÞA;;41.0418657;29.0051116
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER MERKEZ;;41.1622917;29.0474203
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER MERKEZ;;41.1622917;29.0474203
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;SARIYER MERKEZ;;41.1622917;29.0474203
BAKIRKÖY TREN ÝSTASYONU- TAÞ KEMERLÝ GEÇÝT;BAKIRKÖY;ZEYTÝNLÝK;OSMANLI;40.9803132;28.8726873
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;YENÝKÖY;OSMANLI;41.0952869;29.0328543
BAHÇELÝ AHÞAP EV;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0338085;29.03165
Haliç Surlarý, Poterne/5;FATÝH;BALAT;;41.0293599;28.9512558
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KÜÇÜK AYASOFYA;OSMANLI;41.0139702;28.9701897
TUNUSLU HAYRETTÝN PAÞA ÇEÞMESÝ;EYÜPSULTAN;NÝÞANCI;OSMANLI;41.1871598;28.8829816
KÝRYAKO BEY KÖÞKÜ;ADALAR;NÝZAM;OSMANLI;40.8740929;29.0898721
SALÝH HALUK ERBEN YALISI;BEYKOZ;KANLICA;OSMANLI;41.09821549999999;29.0701118
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;MECÝDÝYE;OSMANLI;41.0509393;29.021261
ÖZEL BOMONTÝ ERMENÝ KATOLÝK ÝLKOKULU VE ORTAOKULU;ÞÝÞLÝ;CUMHURÝYET;OSMANLI;41.0598886;28.9810423
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;HÜSEYÝNAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;EMÝRGAN;OSMANLI;41.0952869;29.0328543
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KATÝPMUSTAFA ÇELEBÝ;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KATÝP KASIM;OSMANLI;41.0048204;28.9550479
KAPUCU TEKKESÝ;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0482893;29.0093347
DÖKÜMHANE;BEYOÐLU;KEÇECÝ PÝRÝ;OSMANLI;41.0407378;28.9550479
ALTINDA ÝKÝ DÜKKÂNI OLAN APARTMAN;BEYOÐLU;KATÝPMUSTAFA ÇELEBÝ;OSMANLI;41.0325234;28.9766294
KUÞDÝLÝ ÝNAS RÜÞDÝYESÝ;KADIKÖY;ZÜHTÜPAÞA;OSMANLI;40.990338;29.030807
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
ACISU ÇEÞMESÝ;FATÝH;ÞEHSUVAR BEY;OSMANLI;41.0047957;28.9672203
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0521132;29.05908429999999
AHÞAP EV;BEYKOZ;YALIKÖY;OSMANLI;41.1405254;29.0823555
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;NÝZAM;OSMANLI;40.8622396;29.1169363
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÝCADÝYE;OSMANLI;41.027345;29.0325688
SALÝHA SULTAN SU TERAZÝSÝ;EYÜPSULTAN;DEFTERDAR;OSMANLI;41.0323939;28.941601
METE APARTMANI;KADIKÖY;OSMANAÐA;CUMHURÝYET;41.0035505;28.9721096
KURU ÇEÞME;FATÝH;TAHTAKALE;OSMANLI;41.0172924;28.9683173
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.049433;28.944783
AHÞAP EV;KADIKÖY;MERDÝVENKÖY;OSMANLI;40.9864251;29.066357
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.068056;29.043056
KAPAMACIAN APARTMANI;BEYOÐLU;TOMTOM;OSMANLI;41.0325234;28.9766294
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;BÜYÜKDERE;OSMANLI;41.1635035;29.0450624
SÝRAKYAN ÝKÝZ EVLERÝ;ADALAR;KINALIADA;OSMANLI;40.90907;29.053205
AHÞAP EV;ÞÝLE;BALÝBEY;OSMANLI;41.1669847;29.6309957
YAHYA EFENDÝ TEKKESÝ 6 NOLU YANMIÞ MEÞRUTAHANE YERÝ;BEÞÝKTAÞ;YILDIZ;OSMANLI;41.0457203;29.01795229999999
HEKÝMOÐLU ALÝ PAÞA KÜLLÝYESÝ ABDAL YAKUB DEDE TEKKESÝ MUTFAÐI;FATÝH;CERRAHPAÞA;OSMANLI;41.0062148;28.9350851
ZÝNCÝRLÝ ALÝ BABA TÜRBESÝ;BEYOÐLU;KAPTANPAÞA;OSMANLI;41.0304238;28.9739923
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;SARAÇ ÝSHAK;OSMANLI;41.0070632;28.9637809
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÇUKUR;OSMANLI;41.049433;28.944783
AHÞAP EV;BEYKOZ;PAÞABAHÇE;OSMANLI;41.0850841;29.0066473
AHÞAP EV;FATÝH;MEVLANAKAPI;OSMANLI;41.0588715;28.9948144
BÝZANS KALINTISI;ZEYTÝNBURNU;KAZLIÇEÞME;BÝZANS;41.0072238;28.9606999
AHÞAP EV;TUZLA;CAMÝ;OSMANLI;40.8982305;29.3598782
ÞEHZADE SÜLEYMAN ÇEÞMESÝ;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0239369;29.0188566
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KATÝP KASIM;OSMANLI;41.0048204;28.9550479
DARPHANE-Ý AMÝRE-13 (DAMGA MATBAASI);FATÝH;CANKURTARAN;OSMANLI;41.0103255;28.9812952
HALÝÇ SURLARI - AYA KAPISI;FATÝH;YAVUZ SULTAN SELÝM;BÝZANS;41.0293599;28.9512558
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;DEMÝRTAÞ;OSMANLI;41.0139702;28.9701897
Haliç Surlarý, 59. ve 60. kuleler arasýndaki sur duvarý;FATÝH;CÝBALÝ;ROMA;41.0221836;28.9572312
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CERRAHPAÞA;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;CAFERAÐA;CUMHURÝYET;40.9919939;29.0291886
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;FÝRUZAÐA;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KALYONCU KULLUÐU;OSMANLI;41.049433;28.944783
ÇEÞME;BEYOÐLU;SÜTLÜCE;OSMANLI;41.0465981;28.9582699
SIRA DÜKKAN;FATÝH;HOCA GIYASETTÝN;OSMANLI;41.0177011;28.9619616
ZEYTÝNBURNU AVRUPA KOLEJÝ-KÜTÜPHANE;ZEYTÝNBURNU;KAZLIÇEÞME;;40.994796;28.911635
KUYU;ARNAVUTKÖY;ÇÝLÝNGÝR;;41.1554237;28.6739442
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YEDÝKULE;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;ADALAR;MADEN;OSMANLI;41.1789064;29.0394778
AÞIK PAÞA KÜLLÝYESÝ - ÇEÞME;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.009979;28.9572871
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ARAP CAMÝ;OSMANLI;41.049433;28.944783
KARGÝR EV;ADALAR;HEYBELÝADA;OSMANLI;40.8733364;29.08962709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;YENÝÞEHÝR;;41.049433;28.944783
FENER;KADIKÖY;RASÝMPAÞA;OSMANLI;40.9960665;29.0270806
HAYDARPAÞA GARI-BEHÝÇBEY LOJMANLARI;KADIKÖY;RASÝMPAÞA;CUMHURÝYET;40.9965798;29.0206004
AHÞAP EV;BAKIRKÖY;YENÝMAHALLE;;40.993513;28.784624
ÖZEL SANKT GEORG AVUSTURYA  LÝSESÝ;BEYOÐLU;BEREKETZADE;OSMANLI;41.024242;28.973489
MAVNACIBAÞI ÇEÞMESÝ;BEYKOZ;ÝNCÝRKÖY;OSMANLI;41.1186879;29.1070773
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KARAGÜMRÜK;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;CADDEBOSTAN;OSMANLI;40.9919939;29.0291886
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AKSARAY;OSMANLI;41.0139702;28.9701897
DÜKKÂN;FATÝH;MERCAN;OSMANLI;41.0178761;28.9682914
AHÞAP EV;ÜSKÜDAR;VALÝDE-Ý ATÝK;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;BALAT;OSMANLI;41.0139702;28.9701897
DÝREKLERARASI SIRA DÜKKÂN;FATÝH;KALENDERHANE;OSMANLI;41.0124864;28.9592494
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;SARAÇ ÝSHAK;OSMANLI;41.0070632;28.9637809
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.02607709999999;28.9535923
SANCAKTAR TEKKESÝ SOKAK SARNIÇLARI;FATÝH;KOCA MUSTAFAPAÞA;BÝZANS;41.0041101;28.9347992
KARGÝR EV;ADALAR;KINALIADA;OSMANLI;40.90907;29.053205
KÂRGÝR EV;FATÝH;BALAT;OSMANLI;41.0292106;28.9484978
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
ÝSHAKAÐA CAMÝÝ;SARIYER;KÝREÇBURNU;OSMANLI;41.1352881;29.0904226
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KATÝP KASIM;OSMANLI;41.0048204;28.9550479
AÞIK PAÞA TEKKESÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.0247604;28.9539713
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0521132;29.05908429999999
KARA SURLARI, ANA SUR, T44-T45 BEDEN DUVARI;FATÝH;MEVLANAKAPI;ROMA;41.0170473;28.9252063
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;;41.049433;28.944783
APARTMAN;BEYOÐLU;ASMALI MESCÝT;OSMANLI;41.0325234;28.9766294
TOPKAPI SARAI III. AVLU KUYU;FATÝH;CANKURTARAN;;41.0105297;28.9824568
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KAMER HATUN;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;YENÝKÖY;OSMANLI;41.0952869;29.0328543
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;AZÝZ MAHMUT HÜDAYÝ;OSMANLI;41.0228524;29.0118038
SU TERAZÝSÝ;BAYRAMPAÞA;ALTINTEPSÝ;OSMANLI;41.0348117;28.8968
SURP YERÝTS MANGANTS ERMENi KÝLÝSESÝ_MÜÞTEMÝLAT;SARIYER;EMÝRGAN;OSMANLI;41.102297;29.0512552
SÝVÝL MÝMARLIK ÖRNEÐÝ;SÝLÝVRÝ;SELÝMPAÞA;;41.0788828;28.2182341
KAGÝR EV;BAKIRKÖY;SAKIZAÐACI;OSMANLI;40.9779539;28.8837097
TÝCARETHANE;BEYOÐLU;KEMANKEÞ KARAMUSTAFAPAÞA;OSMANLI;41.0084221;28.9761875
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CANKURTARAN;CUMHURÝYET;41.0139702;28.9701897
KAGÝR FIRIN VE APARTMAN;KADIKÖY;OSMANAÐA;CUMHURÝYET;40.9914317;29.0270806
KUYU;SARIYER;TARABYA;;41.162187;29.0450496
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.068056;29.043056
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;ERENKÖY;OSMANLI;40.9731949;29.0765381
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÝCADÝYE;OSMANLI;41.027345;29.0325688
SÝVÝL MÝMARLIK ÖRNEÐÝ;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0521132;29.05908429999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;ÝSTÝNYE;OSMANLI;41.0952869;29.0328543
AHÞAP EV;BAKIRKÖY;SAKIZAÐACI;;40.993513;28.784624
KANGÝRLÝ MUSTAFA EFENDÝ TEKKESÝ;EYÜPSULTAN;NÝÞANCI;OSMANLI;41.1871598;28.8829816
SÝVÝL MÝMARLIK ÖRNEÐÝ;EYÜPSULTAN;ÝSLAMBEY;OSMANLI;41.0556338;28.9310833
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;ARNAVUTKÖY;OSMANLI;41.068056;29.043056
YENÝ VALÝDE ÝMARETÝ;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0247332;29.01508789999999
YENÝKAPI TREN ÝSTASYONU - MÜÞTEMÝLAT;FATÝH;AKSARAY;OSMANLI;41.00477;28.9524552
SIRA DÜKKÂN;FATÝH;TAHTAKALE;OSMANLI;41.0178761;28.9682914
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;TOPKAPI;OSMANLI;41.0139702;28.9701897
SARNIÇ ;BEÞÝKTAÞ;ARNAVUTKÖY;;41.0424506;29.0056446
KARA SURLARI, ÖN SUR, T58A;ZEYTÝNBURNU;MERKEZEFENDÝ;ROMA;41.0182477;28.9232621
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;SULTAN AHMET;OSMANLI;41.0078742;28.97783129999999
DUVAR;ÜSKÜDAR;SULTANTEPE;OSMANLI;41.0292993;29.0241708
TONOZLU KALINTI;FATÝH;CÝBALÝ;;41.0040565;28.9654893
FATMA ÞERÝFE HANIM ÇEÞMESÝ;BEYKOZ;ANADOLU HÝSARI;OSMANLI;41.082152;29.0669017
TUZBABA CAMÝÝ;BEÞÝKTAÞ;TÜRKALÝ;OSMANLI;41.046271;29.004021
HAMÝT BEY APARTMANI;BEYOÐLU;ÞAHKULU;OSMANLI;41.0066331;28.9520003
KARTAL AÞAÐI MAHALLESÝNDEN TAÞINAN KARTAL KÖPRÜSÜ;KADIKÖY;RASÝMPAÞA;;40.9184004;29.2204548
SIRA DÜKKANLAR;FATÝH;MERCAN;;41.01271699999999;28.966959
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;BÜYÜKDERE;;41.1635035;29.0450624
AHÞAP EV;BAKIRKÖY;YEÞÝLKÖY;OSMANLI;40.993513;28.784624
AHÞAP EV;FATÝH;AYVANSARAY;OSMANLI;41.0588715;28.9948144
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;YENÝKÖY;OSMANLI;41.0952869;29.0328543
SÝVÝL MÝMARLIK ÖRNEÐÝ;ARNAVUTKÖY;YEÞÝLBAYIR;;41.130085;28.608156
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;CUMHURÝYET;41.049433;28.944783
AHÞAP EV;ÜSKÜDAR;MÝMAR SÝNAN;OSMANLI;41.0338085;29.03165
II. MAHMUD ÇEÞMESÝ;ÜSKÜDAR;BEYLERBEYÝ;OSMANLI;41.0422255;29.044538
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;YAVUZ SULTAN SELÝM;CUMHURÝYET;41.02607709999999;28.9535923
AHÞAP EV;ÜSKÜDAR;KUZGUNCUK;OSMANLI;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;BEREKETZADE;;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;ÞEHSUVAR BEY;OSMANLI;41.0047076;28.96814719999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;ÞEHÝT MUHTAR;OSMANLI;41.049433;28.944783
KAGÝR DÜKKAN;KADIKÖY;CAFERAÐA;OSMANLI;40.98696;29.044853
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;EMEKYEMEZ;OSMANLI;41.049433;28.944783
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;CÝBALÝ;OSMANLI;41.0139702;28.9701897
 MEMDUH PAÞA KÖÞKÜ -  C BLOK;BEÞÝKTAÞ;KURUÇEÞME;;41.0616299;29.0329
ETZ AHAYÝM SÝNAGOGU - ÇEÞME 2;BEÞÝKTAÞ;MECÝDÝYE;CUMHURÝYET;41.0509393;29.021261
BOSTANCIBAÞI ABDULLAH AÐA YALISI;ÜSKÜDAR;ÇENGELKÖY;OSMANLI;41.0385324;29.03237709999999
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;19 MAYIS;OSMANLI;40.97462609999999;29.0881728
9+144.56 KM BOSTANCI KÖPRÜSÜ;KADIKÖY;BOSTANCI;;40.96519000000001;29.10451
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEÞÝKTAÞ;MECÝDÝYE;OSMANLI;41.0509393;29.021261
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;TARABYA;OSMANLI;41.0952869;29.0328543
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;MUHSÝNE HATUN;OSMANLI;41.0039853;28.9623254
KÂRGÝR APARTMAN;FATÝH;MÝMAR HAYRETTÝN;OSMANLI;41.0074242;28.9666918
SÝVÝL MÝMARLIK ÖRNEÐÝ;SARIYER;TARABYA;;41.0952869;29.0328543
ÝNGÝLTERE ÝSTANBUL BAÞKONSOLOSLUÐU - HÝZMET BÝNASI 2;BEYOÐLU;KAMER HATUN;OSMANLI;41.0334205;28.975324
SÝVÝL MÝMARLIK ÖRNEÐÝ;BEYOÐLU;KULOÐLU;OSMANLI;41.049433;28.944783
AHÞAP EV;ÜSKÜDAR;VALÝDE-Ý ATÝK;;41.0338085;29.03165
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;KOCA MUSTAFAPAÞA;OSMANLI;40.9992262;28.9310295
SÝPER;ÇATALCA;ÖRCÜNLÜ;CUMHURÝYET;41.2245;28.5237
TEZVEREN DEDE MEZARI;SARIYER;RUMELÝ HÝSARI;OSMANLI;41.1199198;29.0972264
SÝVÝL MÝMARLIK ÖRNEÐÝ;KADIKÖY;KOÞUYOLU;OSMANLI;40.9919939;29.0291886
CUDÝDÝL VALÝDE SULTAN ÇEÞMESÝ;BEYOÐLU;EMEKYEMEZ;OSMANLI;41.0434845;28.9763707
SÝRKECÝ BABA TÜRBESÝ HAZÝRESÝ;FATÝH;YAVUZ SULTAN SELÝM;OSMANLI;41.0337825;28.9696675
SÝVÝL MÝMARLIK ÖRNEÐÝ;FATÝH;AYVANSARAY;OSMANLI;41.0139702;28.9701897
